company_name,salary,year,edu,job_name,pos_count,salary_lower,salary_upper,city
OPPO广东移动...,25.0,3-5年,本科,python,5,20,30,成都
华会天下,15.0,3-5年,本科,python高级工程师,2,10,20,成都
锦程消费金融,15.0,3-5年,大专,python工程师,1,10,20,成都
西瓜创客,15.5,经验不限,学历不限,python开发工程师,6,15,16,成都
卫士通,12.5,经验不限,本科,c/c++/python 开发,2,10,15,成都
无糖信息(NoSugar),15.5,3-5年,本科,python开发工程师,4,11,20,成都
西加云杉,8.0,1-3年,本科,研发工程师(python&shell),1,6,10,成都
宸瀚信息,10.5,1-3年,大专,python,1,7,14,成都
今日生活,15.0,3-5年,本科,python全栈工程师,4,10,20,成都
格米互动,10.5,应届生,本科,python,4,10,11,成都
睿诚财务,1.5,1年以内,本科,（成都）程序员 python 爬虫,6,1,2,成都
欧督系统科技,20.0,3-5年,本科,python开发,1,18,22,成都
一年幸福,8.5,1-3年,大专,python程序员,5,6,11,成都
华为成都,30.0,3-5年,本科,软件研发工程师（java/c/c++/python，hadoop）,1,20,40,成都
华为,21.5,3-5年,本科,伯\乐寻中高级python、java、c、c++软件工程师,6,16,27,成都
华为,22.0,经验不限,本科,急c/c++/java/python语言中高级软件工程师,3,16,28,成都
华为,22.0,经验不限,本科,伯\乐寻中高级c++、c、java、python软件工程师,3,16,28,成都
华为,23.5,经验不限,本科,招聘中高级java/c/c++/python软件工程师,6,21,26,成都
原子冰橙,4.5,经验不限,本科,大数据工程师（python/c++）,3,4,5,成都
原子冰橙,10.5,经验不限,本科,大数据工程师（python/c++）,4,8,13,成都
华为成都,30.0,3-5年,本科,python,2,20,40,成都
蚂蚁金服,22.5,3-5年,本科,高级python开发工程师,3,15,30,成都
华为,22.5,3-5年,本科,python开发工程师,2,15,30,成都
华为,19.5,1-3年,本科,python,3,13,26,成都
成都银事达,15.0,3-5年,本科,python,3,10,20,成都
中电进出口,16.0,3-5年,本科,python开发(网络爬虫方向),5,12,20,成都
成都肆零肆,10.5,1-3年,本科,python高级开发工程师,1,8,13,成都
四顾科技,12.5,3-5年,本科,python开发工程师,2,10,15,成都
尚橙互动,6.0,经验不限,学历不限,python教程制作兼职,1,4,8,成都
泰立智汇,15.0,3-5年,大专,python,4,10,20,成都
子衿晨风,19.5,3-5年,本科,python开发工程师,5,13,26,成都
成都镁奥途有限公司,15.0,3-5年,本科,python开发工程师（运维开发）,2,12,18,成都
零一深度,15.0,3-5年,大专,python 高级爬虫工程师,5,10,20,成都
公平价,12.0,3-5年,本科,python爬虫,5,8,16,成都
善读数据,15.0,1-3年,本科,python web端开发工程师,3,10,20,成都
捷云科技,9.5,1-3年,本科,python,4,7,12,成都
方雷投资咨询,4.5,3-5年,本科,python工程师(兼职),1,3,6,成都
朗擎网络科技（上...,8.5,1-3年,本科,python,6,6,11,成都
知数科技,9.0,1-3年,本科,python后端开发工程师,1,8,10,成都
蚂蚁金服,36.0,3-5年,研究生,数据挖掘,3,24,48,成都
南京烽火,10.5,经验不限,本科,数据分析师,1,7,14,成都
多点Dmall,22.5,3-5年,本科,数据工程师（商品方向）,1,15,30,成都
腾讯,27.0,3-5年,本科,腾讯云数据库高级dba,3,19,35,成都
美团点评,22.5,经验不限,本科,数据仓库工程师（成都）,6,15,30,成都
中科金智,5.5,1年以内,本科,数据库开发工程师,1,3,8,成都
美团网,30.0,1-3年,学历不限,数据仓库工程师,2,20,40,成都
美团网,30.0,1-3年,学历不限,数据挖掘工程师,2,20,40,成都
公平价,20.0,3-5年,本科,数据挖掘,2,15,25,成都
美团新零售业务部,22.5,3-5年,本科,美团外卖分布式数据平台研发工程师,1,15,30,成都
美团新零售业务部,22.5,3-5年,本科,美团外卖大数据开发工程师,6,15,30,成都
成都路行通,20.0,5年以上,本科,高级java（数据中台）,6,15,25,成都
两个月亮科技有限公司,16.0,1-3年,大专,java工程师数据方向,3,12,20,成都
tap4fun,15.5,应届生,学历不限,数据分析工程师,1,13,18,成都
极米科技,15.0,5年以上,本科,数据分析师,1,12,18,成都
平安科技(深圳)...,7.0,经验不限,大专,数据分析师,3,5,9,成都
西瓜创客,19.0,经验不限,学历不限,数据分析师,1,13,25,成都
货车帮,16.0,1-3年,本科,风控数据分析师,2,12,20,成都
川西坝子火锅店,4.5,1年以内,本科,数据分析专员,5,4,5,成都
麦可思,5.0,经验不限,本科,数据分析岗,3,4,6,成都
四川运泽,12.5,1-3年,本科,数据分析师,5,10,15,成都
锦程消费金融,10.5,3-5年,本科,数据分析师,4,7,14,成都
锦程消费金融,10.5,1-3年,本科,贷后数据分析,4,8,13,成都
任远,6.5,1-3年,大专,数据分析,6,5,8,成都
万数光合,6.0,1-3年,本科,数据分析师,2,4,8,成都
华律网,6.0,3-5年,本科,数据分析师,3,5,7,成都
找我网,15.0,5年以上,本科,商业数据分析师,4,10,20,成都
嘉芸服饰,4.5,经验不限,大专,服饰商品数据分析,5,3,6,成都
乐狗科技,15.0,经验不限,本科,数据分析,4,10,20,成都
饿了么,22.5,5年以上,本科,数据分析专家,6,15,30,成都
万益能源,17.0,3-5年,本科,数据分析工程师,4,14,20,成都
大数据产研院,10.5,1-3年,本科,数据分析师,5,8,13,成都
成都运达科技,5.5,1-3年,本科,数据分析工程师,5,4,7,成都
成都运达科技,6.0,1-3年,本科,数据分析工程师,5,5,7,成都
全友家私,12.5,3-5年,本科,数据分析师,6,10,15,成都
映潮科技,6.0,1-3年,本科,数据分析师,2,4,8,成都
OPPO,22.5,3-5年,本科,数据分析师（成都）3216,4,15,30,成都
爱记科技,2.5,应届生,本科,数据分析师(实习),3,2,3,成都
龙渊网络科技有限公司,16.0,3-5年,本科,数据分析/挖掘工程师,6,12,20,成都
成都路行通,12.5,3-5年,本科,数据分析师,5,10,15,成都
什么科技,5.0,经验不限,大专,数据分析师,6,4,6,成都
居学科技,12.5,1-3年,本科,数据分析师,5,10,15,成都
育碧软件,10.5,经验不限,本科,data analyst 数据分析师,1,8,13,成都
爱加密,6.0,3-5年,大专,数据分析专员,5,4,8,成都
华院分析,6.5,1-3年,本科,数据分析师,6,5,8,成都
迈思创智科技,9.5,3-5年,本科,数据分析师,5,9,10,成都
万益能源,18.0,5年以上,本科,数据分析师,5,12,24,成都
京东物流,8.0,3-5年,本科,数据分析岗,5,6,10,成都
京东物流,7.5,1-3年,本科,物流数据分析岗（成都）,5,5,10,成都
成都厚立,14.5,3-5年,本科,数据分析师,3,13,16,成都
成都蚂蚁集团,4.0,1年以内,大专,数据分析员,4,3,5,成都
传不科技,6.5,1-3年,大专,数据分析师,4,5,8,成都
链千科技,8.5,1-3年,大专,数据分析etl,1,7,10,成都
链千科技,8.0,1-3年,本科,数据分析师,2,7,9,成都
成都康赛,10.0,1-3年,本科,数据分析师,3,8,12,成都
索思科得科技,7.5,经验不限,本科,数据分析师,6,5,10,成都
大道同行机器人,10.5,经验不限,本科,数据分析师,3,10,11,成都
我行我数,15.5,3-5年,本科,高级数据分析师,2,11,20,成都
瑞天欣实,10.5,应届生,研究生,数据分析师,5,8,13,成都
万数光合,7.5,1-3年,本科,数据分析师,5,5,10,成都
四川省卫计信息中心,6.5,1年以内,研究生,统计数据分析员,5,5,8,成都
映潮科技,9.5,1-3年,本科,数据分析师-挖掘方向,4,7,12,成都
昆仑智汇数,2.5,应届生,本科,数据分析实习生,6,2,3,成都
华鼎智胜,22.5,5年以上,本科,数据分析师（资深）,1,20,25,成都
华鼎智胜,17.5,5年以上,本科,高级数据分析工程师,4,15,20,成都
思路创新,4.5,经验不限,学历不限,数据分析工程师（接受应届生）,6,4,5,成都
华院分析,5.0,1-3年,本科,运营专员（数据分析方向）,2,4,6,成都
易我科技,30.0,5年以上,研究生,数据分析专家,2,20,40,成都
成都云检,10.5,应届生,本科,生物信息学工程师（组学数据分析计算）,5,8,13,成都
麦可思,5.0,1年以内,本科,数据分析岗,6,4,6,成都
麦可思,5.0,应届生,本科,数据分析员,5,4,6,成都
麦可思,8.0,经验不限,研究生,数据分析师,6,6,10,成都
BBD,10.5,1-3年,研究生,金融工程师（数据分析）,4,8,13,成都
西瓜创客,19.0,1-3年,本科,数据分析师,6,13,25,成都
麦可思,5.5,应届生,本科,数据分析员/统计分析员/数据分析岗,4,4,7,成都
货车帮,18.0,3-5年,本科,数据分析,5,12,24,成都
BBD,10.5,1-3年,研究生,金融工程师（数据分析）,3,8,13,成都
哈啰出行,8.0,经验不限,本科,数据分析师,4,6,10,成都
中粮可口可乐(四川),5.0,1-3年,本科,数据分析师,6,4,6,成都
挽恋,8.0,1-3年,本科,数据分析师,5,7,9,成都
神舟软件,9.5,3-5年,本科,数据分析师,1,7,12,成都
泽企业管理,4.5,1年以内,大专,催收数据分析岗,6,3,6,成都
爱知之星,8.5,3-5年,本科,数据分析师,6,7,10,成都
京东物流,9.5,3-5年,本科,数据分析师,6,7,12,成都
CDNCWCH,9.0,3-5年,本科,数据分析师,6,6,12,成都
优彼致愿,7.0,1-3年,本科,数据分析师,5,5,9,成都
百世威体育用品,4.0,1-3年,大专,数据分析（商品）,4,3,5,成都
美乐乐家居网,10.0,1-3年,本科,数据分析/数据开发工程师,3,8,12,成都
四川链家经纪有限公司,6.5,1-3年,本科,数据分析,5,5,8,成都
cybercian,6.0,1-3年,本科,（初级）数据分析师,1,4,8,成都
西瓜创客,15.0,经验不限,本科,数据分析师,4,10,20,成都
智审数据,12.5,1-3年,本科,数据分析,3,10,15,成都
四川汇达通,4.0,1-3年,学历不限,数据分析,2,3,5,成都
四川汇达通,4.0,经验不限,学历不限,数据分析,2,3,5,成都
兰德文商贸,4.0,1年以内,本科,数据分析师,2,3,5,成都
成都自如,9.5,3-5年,本科,数据分析主管,6,7,12,成都
广东鸿特,5.0,1-3年,大专,数据分析专员,4,4,6,成都
中泰富盛,8.0,1-3年,本科,数据分析师,5,6,10,成都
带路人企业管理公司,6.5,1-3年,本科,数据分析师,4,5,8,成都
成都集众,4.0,经验不限,本科,数据分析师,1,3,5,成都
博问金服,20.0,1-3年,本科,数据分析师,3,15,25,成都
麦迪威尔,3.5,经验不限,大专,医药学数据分析专员,6,3,4,成都
四川好爱家,9.0,3-5年,本科,数据分析师,5,8,10,成都
BBD,2.5,经验不限,研究生,数据分析实习生,3,2,3,成都
哈啰出行,7.5,1-3年,本科,资深数据分析师,1,5,10,成都
四川谛达诺科技,15.0,3-5年,本科,数据分析师,4,10,20,成都
达智咨询,9.5,5年以上,本科,数据分析师,5,7,12,成都
映潮科技,6.0,1年以内,本科,数据分析师,1,5,7,成都
成都蚂蚁集团,3.5,经验不限,大专,数据分析专员,2,3,4,成都
众智协力,6.5,经验不限,大专,内容编辑/数据分析,5,5,8,成都
映潮科技,5.5,1年以内,本科,初级数据分析师（分析方向）,6,4,7,成都
浩睿咨询,8.5,1-3年,本科,管理咨询顾问（服务营销方向、数据分析）,3,7,10,成都
成都智信电子,7.0,1-3年,本科,数据分析师,5,6,8,成都
先锋新媒体,12.5,3-5年,本科,数据分析师,1,10,15,成都
饿了么,2.5,经验不限,本科,数据分析实习生,2,2,3,成都
北京景气经济研究院,15.0,3-5年,本科,数据分析师,6,10,20,成都
成都蚂蚁集团,5.0,经验不限,大专,大数据专员 /数据分析师/ 数据建模师,4,4,6,成都
二十三魔方,8.5,经验不限,本科,数据分析师,4,7,10,成都
默谱科技,9.0,1-3年,本科,临床数据分析,4,8,10,成都
依摩,7.0,经验不限,大专,数据分析师,1,6,8,成都
广迈商贸,4.0,应届生,大专,数据分析,6,3,5,成都
四川虹微技术有限公司,12.0,1-3年,研究生,数据分析研究员,6,9,15,成都
货车帮,10.0,3-5年,本科,数据分析师,5,8,12,成都
瑞德铭,10.0,3-5年,本科,数据分析,5,8,12,成都
小葵传播,6.5,1-3年,本科,高级数据分析师,5,5,8,成都
昆仑智汇数据科技,14.5,3-5年,本科,数据分析师,1,12,17,成都
赫德阳,12.0,1-3年,本科,数据分析工程师,5,8,16,成都
知数科技,11.0,1-3年,本科,数据分析工程师,3,10,12,成都
知数科技,12.5,3-5年,本科,数据分析师,4,10,15,成都
成都厚立,11.0,1-3年,本科,数据分析师,4,8,14,成都
众信创,4.5,1年以内,大专,数据分析师,5,4,5,成都
宜聚车联,8.0,1-3年,本科,数据分析师,2,6,10,成都
华栖云,15.0,3-5年,本科,大数据开发工程师,6,12,18,成都
成都倍博特科技,5.0,1年以内,本科,电商产品经理,6,4,6,成都
华律网,10.0,3-5年,本科,产品经理,2,9,11,成都
蜀乐道,6.5,经验不限,大专,外卖平台运营专员,1,4,9,成都
亿阳信通,10.0,1-3年,本科,产品经理,1,8,12,成都
文心雕龙科技有限公司,5.5,3-5年,本科,app运营,3,5,6,成都
新东网科技,2.5,经验不限,大专,产品实习生,5,2,3,成都
四川智康,4.5,经验不限,大专,医学产品经理,3,3,6,成都
博文达,4.5,1年以内,大专,产品经理讲师,5,3,6,成都
悦途航空,6.0,1-3年,本科,数据产品经理,3,4,8,成都
木和咖啡,7.5,1-3年,本科,电商运营,1,5,10,成都
阿里巴巴集团,8.0,经验不限,本科,中台运营,6,7,9,成都
成都云检,11.5,1-3年,本科,数据库工程师 (database engineer),2,9,14,成都
一真管理,9.5,1-3年,本科,大数据分析师（3名，7k-15k，成都）,1,7,12,成都
九方互动,5.5,1-3年,本科,游戏运营专员,4,4,7,成都
无卡界,7.0,应届生,大专,支付宝红包连锁超市运营,6,6,8,成都
携程旅行网,8.5,1-3年,本科,数据运营主管,3,7,10,成都
BBD,2.5,经验不限,研究生,产品经理助理,6,2,3,成都
芯宇物联,6.5,3-5年,本科,大数据编程分析,3,5,8,成都
哦牛,4.5,1-3年,本科,产品专员,1,3,6,成都
中天智慧,15.0,经验不限,本科,数据挖掘,5,10,20,成都
美住必成科技,9.0,5年以上,大专,酒店运营经理,2,8,10,成都
联投金融,15.0,1年以内,大专,产品经理,6,10,20,成都
金宫,15.0,5年以上,本科,it信息部主管，软件工程师，数据工程师,4,10,20,成都
科来,15.0,5年以上,本科,产品经理,3,10,20,成都
美团点评,22.5,3-5年,本科,cap-产品经理,5,15,30,成都
酷岳科技,12.0,3-5年,大专,数据库运维开发工程师,6,8,16,成都
美稀美色服饰,4.5,1-3年,学历不限,数据仓库,3,3,6,成都
宜佰家,9.0,经验不限,大专,产品经理,3,8,10,成都
四川大晶装饰有限公司,3.0,经验不限,学历不限,产品专员,2,2,4,成都
伟时世联,3.5,1年以内,学历不限,产品专员,2,3,4,成都
亿阳信通,7.5,1-3年,本科,产品经理,3,5,10,成都
今日头条,22.5,3-5年,本科,产品经理,2,15,30,成都
安杰信,9.0,3-5年,本科,产品经理,3,8,10,成都
极米科技,22.5,3-5年,本科,产品经理,2,15,30,成都
新希望地产,20.0,经验不限,学历不限,产品经理,3,15,25,成都
思特奇,16.0,3-5年,本科,产品经理,3,11,21,成都
开普云,12.5,3-5年,本科,产品经理,6,10,15,成都
易店无忧,12.5,1-3年,大专,app产品经理,2,10,15,成都
易店无忧,12.5,3-5年,学历不限,后台产品经理,1,10,15,成都
喜马拉雅,17.5,1-3年,本科,产品经理,3,15,20,成都
乐信圣文,18.0,3-5年,本科,产品经理,4,12,24,成都
福立盟,6.0,1-3年,本科,产品经理,3,4,8,成都
易店无忧,17.5,3-5年,大专,高级产品经理,6,15,20,成都
美尔贝,20.0,3-5年,本科,产品经理,5,15,25,成都
岗域科技,11.5,5年以上,本科,产品经理,2,9,14,成都
HIFIVE互联网音乐公司,9.0,1年以内,本科,产品经理,1,8,10,成都
易店无忧,11.5,1-3年,大专,产品经理,2,9,14,成都
平安集团,7.5,应届生,大专,产品经理,3,5,10,成都
西瓜创客,20.0,3-5年,本科,产品经理,1,15,25,成都
展志商贸,22.5,3-5年,本科,手机产品经理,6,15,30,成都
西瓜创客,16.0,1-3年,本科,硬件产品经理,4,12,20,成都
德车车,15.5,3-5年,本科,产品经理,2,11,20,成都
成都任我行软件,11.5,1-3年,本科,数据产品经理,6,9,14,成都
全友家私,12.5,3-5年,本科,产品经理（家具类）,4,10,15,成都
客如云,24.0,5年以上,本科,高级产品经理,1,18,30,成都
五黑科技,8.0,1-3年,本科,产品经理,6,6,10,成都
福立盟,15.0,3-5年,本科,高级产品经理,6,12,18,成都
音创,9.0,3-5年,大专,产品经理,2,8,10,成都
新盛唐,15.0,3-5年,本科,产品经理（高级）,1,12,18,成都
成都博智信息,16.0,3-5年,本科,产品经理,4,12,20,成都
成都博智信息,12.5,1-3年,本科,中级产品经理,2,10,15,成都
安麦云科技,10.5,3-5年,本科,产品经理,2,8,13,成都
西瓜创客,20.0,经验不限,本科,产品经理,4,15,25,成都
昆仑智汇数,26.5,3-5年,本科,产品经理,1,18,35,成都
OPPO,22.5,3-5年,本科,产品经理,5,15,30,成都
盛邦润达,12.5,3-5年,本科,产品经理,3,10,15,成都
极米科技,21.5,3-5年,本科,硬件产品经理,5,18,25,成都
连银,12.5,1-3年,本科,产品经理,5,10,15,成都
知她,11.0,经验不限,本科,产品经理,2,10,12,成都
艾尚柏雅国际医美集团,12.5,经验不限,学历不限,产品经理,1,10,15,成都
壹玖壹玖终端企业,10.5,1-3年,大专,产品经理,4,8,13,成都
途欢科技,14.0,3-5年,本科,医疗产品经理,4,10,18,成都
一云米,10.5,3-5年,大专,产品经理,5,8,13,成都
迈思创智科技,6.5,1-3年,大专,产品经理,6,6,7,成都
成都信通嘉美软件...,15.0,3-5年,本科,产品经理,5,12,18,成都
智慧流,17.5,5年以上,本科,高级产品经理,1,15,20,成都
成都魔力百聚,16.5,5年以上,本科,产品经理,4,13,20,成都
华文科技,9.0,经验不限,本科,产品经理,6,6,12,成都
北京联众信安,12.0,3-5年,本科,产品经理,4,8,16,成都
泰德仁和科技,10.5,经验不限,本科,产品经理,3,8,13,成都
果小美,16.0,3-5年,本科,电商产品经理,5,12,20,成都
映潮科技,10.0,1-3年,本科,产品经理,1,8,12,成都
成都信通网易医疗科技,12.5,3-5年,本科,产品经理,1,10,15,成都
潇游科技,19.0,5年以上,本科,产品经理,1,13,25,成都
之维安,9.0,3-5年,本科,产品经理,3,8,10,成都
成都端丽医学科技...,9.5,1-3年,研究生,产品经理,3,7,12,成都
茂松软件,12.5,1-3年,本科,产品经理,6,10,15,成都
利畅网络科技,8.0,1-3年,大专,产品经理,6,6,10,成都
成都任我行软件,8.0,1-3年,本科,产品经理,4,6,10,成都
弘德传智,8.5,3-5年,本科,产品经理,1,6,11,成都
茂松软件,20.0,3-5年,本科,产品经理（社交）,6,15,25,成都
电科荷福研究院,11.5,3-5年,本科,产品经理,4,9,14,成都
鑫易时代,7.5,3-5年,大专,产品经理,1,7,8,成都
年华猪,6.5,3-5年,大专,产品经理,1,6,7,成都
茂松软件,22.5,5年以上,本科,高级产品经理,3,15,30,成都
才貌,10.0,3-5年,本科,产品经理,1,8,12,成都
新潮传媒集团,22.5,5年以上,本科,产品经理（信息化）,6,15,30,成都
久远银海,11.5,3-5年,本科,产品经理（工会）,5,9,14,成都
车如云,10.5,5年以上,学历不限,产品经理,2,8,13,成都
全友家私,12.5,3-5年,本科,沙发产品经理,3,10,15,成都
之维安,11.0,3-5年,本科,产品经理,2,10,12,成都
鱼爪网,9.5,1-3年,大专,产品经理,1,8,11,成都
大淘客,12.5,3-5年,本科,产品经理,2,10,15,成都
智慧流,12.5,3-5年,本科,产品经理,3,10,15,成都
多点Dmall,27.5,3-5年,本科,新零售产品经理,5,20,35,成都
大旗软件,10.0,3-5年,本科,产品经理,4,8,12,成都
全友家私,12.5,3-5年,大专,套房产品经理,5,10,15,成都
川大智胜,22.5,5年以上,本科,产品经理,3,20,25,成都
成都世纪光合作用,20.0,1年以内,本科,app产品经理,5,15,25,成都
金蜜工业卫士,8.5,1-3年,本科,产品经理（农业）,2,7,10,成都
京东集团,22.5,3-5年,本科,高级产品经理,2,15,30,成都
四川晓可科技有限...,15.0,5年以上,本科,高级产品经理,1,12,18,成都
成都信通网易医疗科技,16.0,5年以上,本科,产品经理,1,12,20,成都
四川壹创科技有限公司,10.0,3-5年,大专,产品经理,1,8,12,成都
效率源科技,9.0,1-3年,本科,产品经理,1,8,10,成都
成都鹿岛品牌,27.5,5年以上,本科,高级产品经理,3,20,35,成都
地接汇信息科技,12.5,3-5年,本科,产品经理,4,10,15,成都
全友家私,16.0,3-5年,本科,家具产品经理,2,12,20,成都
多点Dmall,26.5,3-5年,本科,风控产品经理,3,18,35,成都
触手可及,5.5,3-5年,大专,产品经理,4,5,6,成都
佳华物链云科技,12.5,3-5年,本科,产品经理,6,10,15,成都
成都原创力,12.5,3-5年,本科,产品经理,6,10,15,成都
神话科技传媒,16.5,1-3年,本科,产品经理,5,13,20,成都
奇点物流,10.0,1-3年,本科,产品经理（p2）,1,8,12,成都
海康交通大数据,22.5,5年以上,本科,产品经理,4,15,30,成都
极米科技,21.5,3-5年,本科,软件产品经理,6,18,25,成都
西瓜创客,16.0,1-3年,本科,教具产品经理,3,12,20,成都
乐信圣文,16.0,3-5年,本科,中级产品经理,4,12,20,成都
宝高科技,22.5,3-5年,大专,产品经理（数值策划）,4,15,30,成都
中国平安综合金融,7.5,经验不限,大专,金融产品经理,1,5,10,成都
多点Dmall,22.5,5年以上,本科,品牌产品经理,1,15,30,成都
同步新科,6.5,1-3年,本科,产品经理,5,5,8,成都
新希望地产,20.0,经验不限,学历不限,产品经理-核心业务组,6,15,25,成都
成都博智信息,12.5,5年以上,本科,高级产品经理,4,10,15,成都
在外科技,12.5,3-5年,本科,产品经理,3,10,15,成都
绿我健康科技,12.0,5年以上,本科,产品经理,4,8,16,成都
鲜生活冷链,9.5,3-5年,大专,产品经理,4,7,12,成都
动翼软件,15.0,3-5年,本科,产品经理,1,10,20,成都
平安普惠,7.0,应届生,大专,金融产品经理,6,6,8,成都
知用科技,7.0,1-3年,本科,产品经理,2,6,8,成都
恺缔科技,8.5,3-5年,本科,产品经理,3,7,10,成都
享宇金科,22.5,5年以上,本科,高级产品经理,3,20,25,成都
中国平安,7.0,经验不限,大专,金融产品经理,2,6,8,成都
雪枭科技,10.5,经验不限,本科,产品经理,2,8,13,成都
中国网安,15.0,3-5年,本科,产品经理,2,12,18,成都
鱼爪网,12.0,3-5年,大专,产品经理,2,10,14,成都
成都路行通,15.0,3-5年,本科,产品经理（营销创新业务组）,5,12,18,成都
赛尔维斯,12.5,1-3年,大专,软件项目产品经理,5,10,15,成都
懒购,8.5,3-5年,本科,产品经理,5,7,10,成都
晶肤医美,9.0,经验不限,大专,产品经理,3,8,10,成都
小咖,15.5,3-5年,本科,高级产品经理,6,13,18,成都
科大讯飞,20.0,5年以上,本科,高级产品经理,3,15,25,成都
优彼致愿,12.5,3-5年,本科,产品经理,2,10,15,成都
成都任我行软件,9.5,3-5年,大专,产品经理（医药方向软件）,3,7,12,成都
客如云,22.5,5年以上,本科,产品经理,6,15,30,成都
吉光瑞羽,10.0,3-5年,本科,电商产品经理,1,8,12,成都
顺欣九九,5.5,经验不限,学历不限,电商产品经理,2,5,6,成都
狮桥资本,10.5,3-5年,大专,金融产品经理,4,8,13,成都
成都任我行软件,10.0,1-3年,本科,erp产品经理,3,8,12,成都
宜信公司,10.5,1-3年,大专,金融产品经理,2,8,13,成都
未来久科技,7.0,1-3年,大专,app产品经理,6,5,9,成都
友众信业,7.5,经验不限,学历不限,金融产品经理,2,5,10,成都
我行我数,15.5,5年以上,本科,产品经理,2,11,20,成都
易航科技,14.5,5年以上,本科,产品经理（大数据方向）,4,12,17,成都
