state/region,ages,year,population
CA,under18,1999,9207878
CA,total,1999,33499204
CA,total,2000,33987977
CA,under18,2000,9267089
CA,under18,1998,9163238
CA,total,1998,32987675
CA,under18,1997,9135359
CA,total,1997,32486010
CA,under18,1996,9079519
CA,total,1996,32018834
CA,total,1995,31696582
CA,under18,1995,8920578
CA,total,1993,31274928
CA,under18,1993,8624810
CA,under18,1994,8790058
CA,total,1994,31484435
CA,total,1991,30470736
CA,under18,1991,8245605
CA,under18,1992,8439647
CA,total,1992,30974659
CA,under18,1990,7980501
CA,total,1990,29959515
CO,total,1990,3307618
CO,under18,1990,881640
CO,total,1992,3495939
CO,under18,1992,925577
CO,under18,1991,896537
CO,total,1991,3387119
CO,total,1994,3724168
CO,under18,1994,966412
CO,under18,1993,947806
CO,total,1993,3613734
CO,under18,1995,984310
CO,total,1995,3826653
CO,total,1996,3919972
CO,under18,1996,1003946
CO,under18,1997,1030557
CO,total,1997,4018293
CO,total,1998,4116639
CO,under18,1998,1060066
CO,total,2000,4326921
CO,under18,2000,1106676
CO,total,1999,4226018
CO,under18,1999,1083938
CO,total,2002,4490406
CO,under18,2002,1138273
CO,total,2001,4425687
CO,under18,2001,1126647
CO,total,2004,4575013
CO,under18,2004,1146369
CO,total,2003,4528732
CO,under18,2003,1144597
CO,total,2006,4720423
CO,under18,2006,1171832
CO,total,2005,4631888
CO,under18,2005,1156399
CO,total,2008,4889730
CO,under18,2008,1203289
CO,total,2007,4803868
CO,under18,2007,1189434
CO,total,2009,4972195
CO,under18,2009,1217213
CO,under18,2013,1237932
CO,total,2013,5268367
CO,under18,2010,1226619
CO,total,2010,5048196
CO,under18,2011,1230178
CO,total,2011,5118400
CO,under18,2012,1232864
CO,total,2012,5189458
CT,under18,2012,794959
CT,total,2012,3591765
CT,under18,2011,805109
CT,total,2011,3588948
CT,under18,2010,814187
CT,total,2010,3579210
CT,under18,2013,785566
CT,total,2013,3596080
CT,total,2009,3561807
CT,under18,2009,820839
CT,total,2007,3527270
CT,under18,2007,833484
CT,total,2008,3545579
CT,under18,2008,826626
CT,total,2005,3506956
CT,under18,2005,844034
CT,total,2006,3517460
CT,under18,2006,839372
CT,total,2003,3484336
CT,under18,2003,851115
CT,total,2004,3496094
CT,under18,2004,848979
CT,total,2001,3432835
CT,under18,2001,845850
CT,total,2002,3458749
CT,under18,2002,848877
CT,total,1999,3386401
CT,under18,1999,834654
CT,total,2000,3411777
CT,under18,2000,842242
CT,under18,1998,824600
CT,total,1998,3365352
CT,total,1997,3349348
CT,under18,1997,814373
CT,under18,1996,811855
CT,total,1996,3336685
CT,total,1995,3324144
CT,under18,1995,808623
CT,total,1993,3309175
CT,under18,1993,790749
CT,under18,1994,801231
CT,total,1994,3316121
CT,under18,1991,766304
CT,total,1991,3302895
CT,under18,1992,777264
CT,total,1992,3300712
CT,total,1990,3291967
CT,under18,1990,752666
DE,under18,1990,165628
DE,total,1990,669567
DE,under18,1992,174166
DE,total,1992,694927
DE,total,1991,683080
DE,under18,1991,169910
DE,total,1994,717545
DE,under18,1994,180833
DE,total,1993,706378
DE,under18,1993,176916
DE,under18,1995,181736
DE,total,1995,729735
DE,total,1996,740978
DE,under18,1996,184021
DE,under18,1997,186607
DE,total,1997,751487
DE,total,1998,763335
DE,under18,1998,189302
DE,total,2000,786373
DE,under18,2000,194914
DE,total,1999,774990
DE,under18,1999,192510
DE,total,2002,806169
DE,under18,2002,196946
DE,total,2001,795699
DE,under18,2001,196038
DE,total,2004,830803
DE,under18,2004,199631
DE,total,2003,818003
DE,under18,2003,198045
DE,total,2006,859268
DE,under18,2006,203729
DE,total,2005,845150
DE,under18,2005,201988
DE,total,2008,883874
DE,under18,2008,206116
DE,total,2007,871749
DE,under18,2007,205155
DE,under18,2013,203558
DE,total,2013,925749
DE,total,2009,891730
DE,under18,2009,206213
DE,under18,2010,205478
DE,total,2010,899711
DE,under18,2011,204801
DE,total,2011,907985
DE,under18,2012,204586
DE,total,2012,917053
DC,under18,2012,107642
DC,total,2012,633427
DC,under18,2011,103906
DC,total,2011,619624
DC,under18,2010,101309
DC,total,2010,605125
DC,under18,2013,111474
DC,total,2013,646449
DC,total,2009,592228
DC,under18,2009,102098
DC,total,2007,574404
DC,under18,2007,104126
DC,total,2008,580236
DC,under18,2008,102257
DC,total,2005,567136
DC,under18,2005,107187
DC,total,2006,570681
DC,under18,2006,105651
DC,total,2003,568502
DC,under18,2003,111403
DC,total,2004,567754
DC,under18,2004,109756
DC,total,2001,574504
DC,under18,2001,114625
DC,total,2002,573158
DC,under18,2002,113822
DC,total,1999,570220
DC,under18,1999,115003
DC,total,2000,572046
DC,under18,2000,114503
DC,under18,1998,113839
DC,total,1998,565232
DC,under18,1997,119531
DC,total,1997,567739
DC,under18,1996,121210
DC,total,1996,572379
DC,total,1995,580519
DC,under18,1995,123620
DC,total,1993,595302
DC,under18,1993,120471
DC,under18,1994,122170
DC,total,1994,589240
DC,total,1991,600870
DC,under18,1991,116825
DC,under18,1992,118636
DC,total,1992,597567
DC,under18,1990,112632
DC,total,1990,605321
FL,total,1990,13033307
FL,under18,1990,2988807
FL,under18,1991,3045638
FL,total,1991,13369798
FL,total,1994,14239444
FL,under18,1994,3299887
FL,under18,1993,3214066
FL,total,1993,13927185
FL,total,1992,13650553
FL,under18,1992,3120439
FL,under18,1995,3366468
FL,total,1995,14537875
FL,total,1996,14853360
FL,under18,1996,3431695
FL,under18,1998,3557561
FL,under18,1997,3502269
FL,total,1997,15186304
FL,total,1998,15486559
FL,total,1999,15759421
FL,under18,1999,3611711
FL,total,2000,16047515
FL,under18,2000,3654880
FL,total,2001,16356966
FL,under18,2001,3714439
FL,total,2002,16689370
FL,under18,2002,3774624
FL,total,2003,17004085
FL,under18,2003,3820876
FL,total,2004,17415318
FL,under18,2004,3890734
FL,total,2005,17842038
FL,under18,2005,3968178
FL,total,2006,18166990
FL,under18,2006,4022912
FL,total,2007,18367842
FL,under18,2007,4031098
FL,total,2008,18527305
FL,under18,2008,4018372
FL,total,2009,18652644
FL,under18,2009,3997283
FL,under18,2013,4026674
FL,total,2013,19552860
FL,under18,2010,3999532
FL,total,2010,18846054
FL,under18,2011,4002550
FL,total,2011,19083482
FL,under18,2012,4012421
FL,total,2012,19320749
GA,total,2012,9915646
GA,under18,2012,2487831
GA,under18,2011,2488898
GA,total,2011,9810181
GA,under18,2010,2490884
GA,total,2010,9713248
GA,total,2013,9992167
GA,total,2009,9620846
GA,under18,2009,2485781
GA,under18,2013,2489709
GA,total,2007,9349988
GA,under18,2007,2456249
GA,total,2008,9504843
GA,under18,2008,2479097
GA,total,2005,8925922
GA,under18,2005,2353604
GA,total,2006,9155813
GA,under18,2006,2406014
GA,total,2003,8622793
GA,under18,2003,2278710
GA,total,2004,8769252
GA,under18,2004,2308855
GA,total,2001,8377038
GA,under18,2001,2215390
GA,total,2002,8508256
GA,under18,2002,2249784
GA,total,1999,8045965
GA,under18,1999,2130698
GA,total,2000,8227303
GA,under18,2000,2176576
GA,total,1997,7685099
GA,under18,1997,2034163
GA,under18,1998,2078998
GA,total,1998,7863536
GA,under18,1996,1993171
GA,total,1996,7501069
GA,total,1995,7328413
GA,under18,1995,1949818
GA,under18,1992,1817781
GA,total,1992,6817203
GA,total,1993,6978240
GA,under18,1993,1865021
GA,under18,1994,1906539
GA,total,1994,7157165
GA,total,1991,6653005
GA,under18,1991,1773675
GA,under18,1990,1747363
GA,total,1990,6512602
HI,under18,1990,279983
HI,total,1990,1113491
HI,total,1991,1136754
HI,under18,1991,287871
HI,under18,1994,307517
HI,total,1994,1187536
HI,total,1993,1172838
HI,under18,1993,301473
HI,under18,1992,295124
HI,total,1992,1158613
HI,total,1995,1196854
HI,under18,1995,310325
HI,under18,1996,311213
HI,total,1996,1203755
HI,under18,1998,304576
HI,total,1998,1215233
HI,total,1997,1211640
HI,under18,1997,309465
HI,total,2000,1213519
HI,under18,2000,295352
HI,total,1999,1210300
HI,under18,1999,299680
HI,total,2002,1239613
HI,under18,2002,293600
HI,total,2001,1225948
HI,under18,2001,294133
HI,total,2004,1273569
HI,under18,2004,298103
HI,total,2003,1251154
HI,under18,2003,294519
HI,total,2006,1309731
HI,under18,2006,299313
HI,total,2005,1292729
HI,under18,2005,298497
HI,total,2008,1332213
HI,under18,2008,301094
HI,total,2007,1315675
HI,under18,2007,300207
HI,under18,2013,307266
HI,total,2009,1346717
HI,under18,2009,302796
HI,total,2013,1404054
HI,total,2010,1363731
HI,under18,2010,303812
HI,total,2011,1376897
HI,under18,2011,305396
HI,under18,2012,305981
HI,total,2012,1390090
ID,total,2012,1595590
ID,under18,2012,427177
ID,under18,2011,428535
ID,total,2011,1583930
ID,under18,2010,428961
ID,total,2010,1570718
ID,total,2013,1612136
ID,total,2009,1554439
ID,under18,2009,426076
ID,under18,2013,427781
ID,total,2007,1505105
ID,under18,2007,415024
ID,total,2008,1534320
ID,under18,2008,422347
ID,total,2005,1428241
ID,under18,2005,394651
ID,total,2006,1468669
ID,under18,2006,404753
ID,total,2003,1363380
ID,under18,2003,379241
ID,total,2004,1391802
ID,under18,2004,384692
ID,total,2001,1319962
ID,under18,2001,373145
ID,total,2002,1340372
ID,under18,2002,375986
ID,total,1999,1275674
ID,under18,1999,366689
ID,total,2000,1299430
ID,under18,2000,370430
ID,total,1997,1228520
ID,under18,1997,357779
ID,under18,1998,362189
ID,total,1998,1252330
ID,under18,1996,353824
ID,total,1996,1203083
ID,total,1995,1177322
ID,under18,1995,349248
ID,under18,1992,324972
ID,total,1992,1071685
ID,total,1993,1108768
ID,under18,1993,333838
ID,under18,1994,344242
ID,total,1994,1145140
ID,total,1991,1041316
ID,under18,1991,316732
ID,under18,1990,313373
ID,total,1990,1012384
IL,under18,1990,2940837
IL,total,1990,11453316
IL,total,1991,11568964
IL,under18,1991,2988715
IL,under18,1994,3110938
IL,total,1994,11912585
IL,total,1993,11809579
IL,under18,1993,3066541
IL,under18,1992,3033427
IL,total,1992,11694184
IL,total,1995,12008437
IL,under18,1995,3152984
IL,under18,1996,3192916
IL,total,1996,12101997
IL,under18,1998,3225252
IL,total,1998,12271847
IL,total,1997,12185715
IL,under18,1997,3222114
IL,total,2000,12434161
IL,under18,2000,3244944
IL,total,1999,12359020
IL,under18,1999,3240034
IL,total,2002,12525556
IL,under18,2002,3238362
IL,total,2001,12488445
IL,under18,2001,3243617
IL,total,2004,12589773
IL,under18,2004,3211599
IL,total,2003,12556006
IL,under18,2003,3225547
IL,total,2006,12643955
IL,under18,2006,3181246
IL,total,2005,12609903
IL,under18,2005,3197318
IL,total,2008,12747038
IL,under18,2008,3153401
IL,total,2007,12695866
IL,under18,2007,3170134
IL,under18,2013,3023307
IL,total,2009,12796778
IL,under18,2009,3138406
IL,total,2013,12882135
IL,total,2010,12839695
IL,under18,2010,3122092
IL,total,2011,12855970
IL,under18,2011,3089833
IL,under18,2012,3057042
IL,total,2012,12868192
IN,total,2012,6537782
IN,under18,2012,1589655
IN,under18,2011,1598091
IN,total,2011,6516336
IN,under18,2010,1605883
IN,total,2010,6489965
IN,total,2013,6570902
IN,total,2009,6459325
IN,under18,2009,1609704
IN,under18,2013,1586027
IN,total,2007,6379599
IN,under18,2007,1609494
IN,total,2008,6424806
IN,under18,2008,1611494
IN,total,2005,6278616
IN,under18,2005,1593898
IN,total,2006,6332669
IN,under18,2006,1603107
IN,total,2003,6196638
IN,under18,2003,1582560
IN,total,2004,6233007
IN,under18,2004,1586281
IN,total,2001,6127760
IN,under18,2001,1579527
IN,total,2002,6155967
IN,under18,2002,1580814
IN,total,1999,6044970
IN,under18,1999,1566079
IN,total,2000,6091866
IN,under18,2000,1574989
IN,total,1997,5955267
IN,under18,1997,1539270
IN,under18,1998,1551960
IN,total,1998,5998881
IN,under18,1996,1517961
IN,total,1996,5906013
IN,total,1995,5851459
IN,under18,1995,1507916
IN,under18,1992,1461650
IN,total,1992,5674547
IN,total,1993,5739019
IN,under18,1993,1473007
IN,under18,1994,1491802
IN,total,1994,5793526
IN,total,1991,5616388
IN,under18,1991,1450759
IN,under18,1990,1437209
IN,total,1990,5557798
IA,under18,1990,719366
IA,total,1990,2781018
IA,total,1991,2797613
IA,under18,1991,724446
IA,under18,1994,728397
IA,total,1994,2850746
IA,total,1993,2836972
IA,under18,1993,727751
IA,under18,1992,724798
IA,total,1992,2818401
IA,total,1995,2867373
IA,under18,1995,726961
IA,under18,1996,729177
IA,total,1996,2880001
IA,under18,1998,729943
IA,total,1998,2902872
IA,total,1997,2891119
IA,under18,1997,729806
IA,total,2000,2929067
IA,under18,2000,733337
IA,total,1999,2917634
IA,under18,1999,732671
IA,total,2002,2934234
IA,under18,2002,723685
IA,total,2001,2931997
IA,under18,2001,728601
IA,total,2004,2953635
IA,under18,2004,718708
IA,total,2003,2941999
IA,under18,2003,720102
IA,total,2006,2982644
IA,under18,2006,721703
IA,total,2005,2964454
IA,under18,2005,718488
IA,total,2008,3016734
IA,under18,2008,725658
IA,total,2007,2999212
IA,under18,2007,723632
IA,under18,2013,724032
IA,total,2009,3032870
IA,under18,2009,726969
IA,total,2013,3090416
IA,total,2010,3050314
IA,under18,2010,727717
IA,total,2011,3064102
IA,under18,2011,725522
IA,under18,2012,723917
IA,total,2012,3075039
KS,total,2012,2885398
KS,under18,2012,726668
KS,under18,2011,726787
KS,total,2011,2869548
KS,under18,2010,727729
KS,total,2010,2858910
KS,total,2013,2893957
KS,total,2009,2832704
KS,under18,2009,721841
KS,under18,2013,724092
KS,total,2007,2783785
KS,under18,2007,711005
KS,total,2008,2808076
KS,under18,2008,714689
KS,total,2005,2745299
KS,under18,2005,704689
KS,total,2006,2762931
KS,under18,2006,705277
KS,total,2003,2723004
KS,under18,2003,707847
KS,total,2004,2734373
KS,under18,2004,705456
KS,total,2001,2702162
KS,under18,2001,710923
KS,total,2002,2713535
KS,under18,2002,709416
KS,total,1999,2678338
KS,under18,1999,713022
KS,total,2000,2693681
KS,under18,2000,713887
KS,total,1997,2635292
KS,under18,1997,704001
KS,under18,1998,710402
KS,total,1998,2660598
KS,under18,1996,696298
KS,total,1996,2614554
KS,total,1995,2601008
KS,under18,1995,694124
KS,under18,1992,680871
KS,total,1992,2532395
KS,total,1993,2556547
KS,under18,1993,687262
KS,under18,1994,693673
KS,total,1994,2580513
KS,total,1991,2498722
KS,under18,1991,672033
KS,under18,1990,662641
KS,total,1990,2481349
KY,under18,1990,945951
KY,total,1990,3694048
KY,total,1991,3722328
KY,under18,1991,951512
KY,under18,1994,981439
KY,total,1994,3849088
KY,total,1993,3812206
KY,under18,1993,971134
KY,under18,1992,963861
KY,total,1992,3765469
KY,total,1995,3887427
KY,under18,1995,984486
KY,under18,1996,987062
KY,total,1996,3919536
KY,under18,1998,997296
KY,total,1998,3985391
KY,total,1997,3952747
KY,under18,1997,1002609
KY,total,2000,4049021
KY,under18,2000,994984
KY,total,1999,4018053
KY,under18,1999,996382
KY,total,2002,4089875
KY,under18,2002,995251
KY,total,2001,4068132
KY,under18,2001,994105
KY,total,2004,4146101
KY,under18,2004,998459
KY,total,2003,4117170
KY,under18,2003,998485
KY,total,2006,4219239
KY,under18,2006,1011295
KY,total,2005,4182742
KY,under18,2005,1004020
KY,total,2008,4289878
KY,under18,2008,1022001
KY,total,2007,4256672
KY,under18,2007,1016288
KY,under18,2013,1014004
KY,total,2009,4317074
KY,under18,2009,1021710
KY,total,2013,4395295
KY,total,2010,4347698
KY,under18,2010,1023679
KY,total,2011,4366869
KY,under18,2011,1021926
KY,under18,2012,1017350
KY,total,2012,4379730
LA,total,2012,4602134
LA,under18,2012,1114620
LA,under18,2011,1116579
LA,total,2011,4575197
LA,under18,2010,1118576
LA,total,2010,4545392
LA,total,2013,4625470
LA,total,2009,4491648
LA,under18,2009,1114228
LA,under18,2013,1112957
LA,total,2007,4375581
LA,under18,2007,1096642
LA,total,2008,4435586
LA,under18,2008,1108728
LA,total,2005,4576628
LA,under18,2005,1177954
LA,total,2006,4302665
LA,under18,2006,1078779
LA,total,2003,4521042
LA,under18,2003,1188070
LA,total,2004,4552238
LA,under18,2004,1182731
LA,total,2001,4477875
LA,under18,2001,1204187
LA,total,2002,4497267
LA,under18,2002,1194819
LA,total,2000,4471885
LA,under18,2000,1217670
LA,total,1999,4460811
LA,under18,1999,1227167
LA,total,1997,4421072
LA,under18,1997,1239665
LA,under18,1998,1232984
LA,total,1998,4440344
LA,under18,1996,1244627
LA,total,1996,4398877
LA,total,1995,4378779
LA,under18,1995,1250112
LA,under18,1992,1237034
LA,total,1992,4293003
LA,total,1993,4316428
LA,under18,1993,1239161
LA,under18,1994,1247631
LA,total,1994,4347481
LA,total,1991,4253279
LA,under18,1991,1222330
LA,under18,1990,1205984
LA,total,1990,4221532
ME,under18,1990,308066
ME,total,1990,1231719
ME,total,1991,1237081
ME,under18,1991,309871
ME,under18,1994,311570
ME,total,1994,1242662
ME,total,1993,1242302
ME,under18,1993,310966
ME,under18,1992,310679
ME,total,1992,1238508
ME,total,1995,1243481
ME,under18,1995,309173
ME,under18,1996,307740
ME,total,1996,1249060
ME,under18,1998,304496
ME,total,1998,1259127
ME,total,1997,1254774
ME,under18,1997,305097
ME,total,1999,1266808
ME,under18,1999,302321
ME,total,2000,1277072
ME,under18,2000,301407
ME,total,2002,1295960
ME,under18,2002,298595
ME,total,2001,1285692
ME,under18,2001,300088
ME,total,2004,1313688
ME,under18,2004,294791
ME,total,2003,1306513
ME,under18,2003,296786
ME,total,2006,1323619
ME,under18,2006,288945
ME,total,2005,1318787
ME,under18,2005,292039
ME,total,2008,1330509
ME,under18,2008,282204
ME,total,2007,1327040
ME,under18,2007,286185
ME,under18,2013,261276
ME,total,2009,1329590
ME,under18,2009,277946
ME,total,2013,1328302
ME,total,2010,1327366
ME,under18,2010,273061
ME,total,2011,1327844
ME,under18,2011,268737
ME,under18,2012,264846
ME,total,2012,1328501
MD,total,2012,5884868
MD,under18,2012,1346235
MD,under18,2011,1348766
MD,total,2011,5840241
MD,under18,2010,1351983
MD,total,2010,5787193
MD,total,2013,5928814
MD,total,2009,5730388
MD,under18,2009,1353631
MD,under18,2013,1344522
MD,total,2007,5653408
MD,under18,2007,1369563
MD,total,2008,5684965
MD,under18,2008,1359214
MD,total,2005,5592379
MD,under18,2005,1382966
MD,total,2006,5627367
MD,under18,2006,1377756
MD,total,2003,5496269
MD,under18,2003,1379641
MD,total,2004,5546935
MD,under18,2004,1383450
MD,total,2001,5374691
MD,under18,2001,1366552
MD,total,2002,5440389
MD,under18,2002,1375354
MD,total,2000,5311034
MD,under18,2000,1356961
MD,total,1999,5254509
MD,under18,1999,1348659
MD,total,1997,5157328
MD,under18,1997,1321306
MD,under18,1998,1338727
MD,total,1998,5204464
MD,under18,1996,1303816
MD,total,1996,5111986
MD,total,1995,5070033
MD,under18,1995,1300695
MD,under18,1992,1235498
MD,total,1992,4923369
MD,total,1993,4971889
MD,under18,1993,1261738
MD,under18,1994,1280772
MD,total,1994,5023060
MD,total,1991,4867641
MD,under18,1991,1208898
MD,under18,1990,1180426
MD,total,1990,4799770
MA,under18,1990,1353806
MA,total,1990,6022639
MA,total,1991,6018470
MA,under18,1991,1375110
MA,under18,1994,1437069
MA,total,1994,6095241
MA,total,1993,6060569
MA,under18,1993,1415724
MA,under18,1992,1390188
MA,total,1992,6028709
MA,total,1995,6141445
MA,under18,1995,1453489
MA,under18,1996,1468614
MA,total,1996,6179756
MA,under18,1998,1491652
MA,total,1998,6271838
MA,total,1997,6226058
MA,under18,1997,1478203
MA,total,1999,6317345
MA,under18,1999,1495818
MA,total,2000,6361104
MA,under18,2000,1501334
MA,total,2001,6397634
MA,under18,2001,1505028
MA,total,2002,6417206
MA,under18,2002,1502652
MA,total,2004,6412281
MA,under18,2004,1479541
MA,total,2003,6422565
MA,under18,2003,1493372
MA,total,2006,6410084
MA,under18,2006,1450202
MA,total,2005,6403290
MA,under18,2005,1464140
MA,total,2008,6468967
MA,under18,2008,1429727
MA,total,2007,6431559
MA,under18,2007,1439757
MA,under18,2013,1393946
MA,total,2009,6517613
MA,under18,2009,1422935
MA,total,2013,6692824
MA,total,2010,6563263
MA,under18,2010,1415962
MA,total,2011,6606285
MA,under18,2011,1407240
MA,under18,2012,1399417
MA,total,2012,6645303
MI,total,2012,9882519
MI,under18,2012,2269365
MI,under18,2011,2299116
MI,total,2011,9874589
MI,under18,2010,2333121
MI,total,2010,9876149
MI,total,2013,9895622
MI,total,2009,9901591
MI,under18,2009,2372603
MI,under18,2013,2245201
MI,total,2007,10001284
MI,under18,2007,2470063
MI,total,2008,9946889
MI,under18,2008,2418879
MI,total,2005,10051137
MI,under18,2005,2531839
MI,total,2006,10036081
MI,under18,2006,2503548
MI,total,2003,10041152
MI,under18,2003,2569080
MI,total,2004,10055315
MI,under18,2004,2553314
MI,total,2002,10015710
MI,under18,2002,2584310
MI,total,2001,9991120
MI,under18,2001,2593310
MI,total,2000,9952450
MI,under18,2000,2596114
MI,total,1999,9897116
MI,under18,1999,2591944
MI,total,1997,9809051
MI,under18,1997,2582270
MI,under18,1998,2586343
MI,total,1998,9847942
MI,under18,1996,2569745
MI,total,1996,9758645
MI,total,1995,9676211
MI,under18,1995,2556799
MI,under18,1992,2501765
MI,total,1992,9479065
MI,total,1993,9540114
MI,under18,1993,2522249
MI,under18,1994,2535196
MI,total,1994,9597737
MI,total,1991,9400446
MI,under18,1991,2484957
MI,under18,1990,2459633
MI,total,1990,9311319
MN,under18,1990,1176680
MN,total,1990,4389857
MN,total,1991,4440859
MN,under18,1991,1191207
MN,under18,1994,1238949
MN,total,1994,4610355
MN,total,1993,4555956
MN,under18,1993,1226723
MN,under18,1992,1213068
MN,total,1992,4495572
MN,total,1995,4660180
MN,under18,1995,1245932
MN,under18,1996,1252722
MN,total,1996,4712827
MN,under18,1998,1275940
MN,total,1998,4813412
MN,total,1997,4763390
MN,under18,1997,1264250
MN,total,1999,4873481
MN,under18,1999,1283102
MN,total,2000,4933692
MN,under18,2000,1289715
MN,total,2001,4982796
MN,under18,2001,1291261
MN,total,2002,5018935
MN,under18,2002,1288795
MN,total,2004,5087713
MN,under18,2004,1281946
MN,total,2003,5053572
MN,under18,2003,1283687
MN,total,2006,5163555
MN,under18,2006,1282381
MN,total,2005,5119598
MN,under18,2005,1280557
MN,total,2008,5247018
MN,under18,2008,1284179
MN,total,2007,5207203
